iter	Passed	Remaining
409	4545	6541
410	4557	6531
411	4568	6520
412	4579	6509
413	4591	6499
414	4603	6488
415	4614	6477
416	4625	6466
417	4636	6455
418	4647	6444
419	4658	6433
420	4670	6423
421	4681	6412
422	4692	6401
423	4704	6390
424	4715	6379
425	4725	6367
426	4737	6356
427	4747	6344
428	4757	6332
429	4768	6321
430	4780	6310
431	4791	6300
432	4803	6289
433	4815	6279
434	4826	6268
435	4837	6258
436	4848	6246
437	4860	6236
438	4871	6225
439	4882	6214
440	4894	6203
441	4906	6194
442	4919	6185
443	4932	6176
444	4944	6166
445	4956	6156
446	4969	6147
447	4981	6137
448	4992	6127
449	5003	6115
450	5014	6104
451	5025	6092
452	5035	6080
453	5046	6068
454	5057	6057
455	5067	6045
456	5078	6033
457	5089	6022
458	5099	6011
459	5110	5999
460	5121	5987
461	5132	5976
462	5143	5965
463	5153	5953
464	5165	5942
465	5176	5931
466	5186	5919
467	5197	5907
468	5207	5896
469	5218	5884
470	5229	5873
471	5240	5862
472	5252	5851
473	5264	5841
474	5275	5830
475	5286	5819
476	5298	5809
477	5310	5799
478	5321	5788
479	5333	5777
480	5345	5767
481	5356	5756
482	5367	5745
483	5379	5734
484	5390	5724
485	5401	5712
486	5412	5701
487	5423	5689
488	5433	5678
489	5445	5667
490	5456	5656
491	5467	5645
492	5479	5635
493	5489	5622
494	5499	5610
495	5510	5599
496	5521	5587
497	5531	5576
498	5542	5564
499	5552	5552
500	5563	5541
501	5574	5530
502	5585	5519
503	5597	5508
504	5609	5498
505	5620	5487
506	5631	5475
507	5641	5464
508	5652	5452
509	5663	5441
510	5673	5429
511	5684	5418
512	5695	5407
513	5706	5395
514	5717	5384
515	5728	5373
516	5739	5361
517	5749	5349
518	5760	5338
519	5771	5327
520	5781	5315
521	5792	5304
522	5803	5292
523	5813	5281
524	5824	5269
525	5834	5258
526	5846	5247
527	5856	5235
528	5867	5223
529	5877	5212
530	5888	5201
531	5899	5190
532	5910	5178
533	5920	5166
534	5931	5155
535	5942	5144
536	5953	5133
537	5964	5122
538	5976	5111
539	5987	5100
540	5998	5089
541	6009	5078
542	6020	5066
543	6031	5055
544	6042	5044
545	6053	5033
546	6064	5022
547	6075	5011
548	6086	5000
549	6097	4989
550	6108	4977
551	6118	4966
552	6130	4955
553	6140	4943
554	6152	4932
555	6161	4920
556	6173	4909
557	6183	4898
558	6194	4886
559	6205	4875
560	6215	4864
561	6225	4852
562	6237	4841
563	6247	4829
564	6258	4818
565	6269	4807
566	6279	4795
567	6290	4784
568	6301	4773
569	6312	4762
570	6323	4750
571	6335	4740
572	6346	4729
573	6357	4718
574	6368	4707
575	6380	4696
576	6390	4684
577	6401	4673
578	6411	4662
579	6422	4650
580	6433	4639
581	6443	4627
582	6454	4616
583	6465	4605
584	6476	4594
585	6487	4583
586	6498	4572
587	6508	4560
588	6519	4549
589	6530	4537
590	6540	4526
591	6551	4515
592	6562	4504
593	6573	4493
594	6584	4482
595	6595	4470
596	6606	4459
597	6618	4448
598	6629	4438
599	6640	4426
600	6650	4415
601	6661	4404
602	6672	4392
603	6683	4381
604	6693	4369
605	6703	4358
606	6714	4347
607	6724	4335
608	6735	4324
609	6746	4313
610	6757	4302
611	6767	4290
612	6778	4279
613	6789	4268
614	6800	4257
615	6810	4245
616	6821	4234
617	6832	4223
618	6843	4212
619	6853	4200
620	6865	4190
621	6876	4179
622	6887	4168
623	6899	4157
624	6911	4146
625	6921	4135
626	6933	4125
627	6945	4114
628	6958	4104
629	6969	4093
630	6980	4082
631	6992	4071
632	7003	4060
633	7015	4049
634	7026	4038
635	7037	4027
636	7048	4016
637	7059	4005
638	7070	3994
639	7081	3983
640	7093	3972
641	7103	3961
642	7114	3950
643	7126	3939
644	7137	3928
645	7148	3917
646	7159	3906
647	7170	3895
648	7182	3884
649	7193	3873
650	7204	3862
651	7215	3851
652	7226	3840
653	7237	3829
654	7248	3817
655	7259	3806
656	7270	3795
657	7282	3784
658	7293	3774
659	7305	3763
660	7316	3752
661	7327	3741
662	7338	3730
663	7349	3719
664	7360	3707
665	7370	3696
666	7380	3684
667	7391	3673
668	7401	3662
669	7412	3650
670	7422	3639
671	7433	3628
672	7444	3616
673	7454	3605
674	7465	3594
675	7476	3583
676	7487	3572
677	7497	3560
678	7509	3550
679	7520	3538
680	7530	3527
681	7541	3516
682	7551	3505
683	7562	3493
684	7574	3482
685	7585	3471
686	7597	3461
687	7608	3450
688	7619	3439
689	7629	3427
690	7640	3416
691	7651	3405
692	7662	3394
693	7674	3383
694	7685	3372
695	7696	3361
696	7707	3350
697	7718	3339
698	7729	3328
699	7740	3317
700	7751	3306
701	7762	3295
702	7773	3284
703	7785	3273
704	7795	3262
705	7805	3250
706	7816	3239
707	7826	3227
708	7837	3216
709	7848	3205
710	7858	3194
711	7869	3183
712	7879	3171
713	7890	3160
714	7902	3149
715	7913	3138
716	7923	3127
717	7934	3116
718	7945	3105
719	7955	3093
720	7966	3082
721	7977	3071
722	7987	3060
723	7998	3049
724	8009	3037
725	8020	3027
726	8031	3015
727	8041	3004
728	8053	2993
729	8064	2982
730	8076	2971
731	8088	2961
732	8098	2950
733	8109	2939
734	8121	2928
735	8133	2917
736	8144	2906
737	8155	2895
738	8166	2884
739	8177	2873
740	8187	2861
741	8198	2850
742	8209	2839
743	8220	2828
744	8232	2817
745	8243	2806
746	8254	2795
747	8265	2784
748	8276	2773
749	8287	2762
750	8299	2751
751	8310	2740
752	8321	2729
753	8333	2719
754	8345	2708
755	8356	2697
756	8368	2686
757	8379	2675
758	8391	2664
759	8401	2653
760	8413	2642
761	8424	2631
762	8434	2619
763	8445	2608
764	8455	2597
765	8466	2586
766	8477	2575
767	8488	2564
768	8499	2553
769	8510	2542
770	8521	2530
771	8532	2520
772	8543	2509
773	8554	2497
774	8566	2486
775	8578	2476
776	8589	2465
777	8599	2453
778	8611	2443
779	8622	2432
780	8633	2420
781	8644	2409
782	8655	2398
783	8666	2387
784	8677	2376
785	8688	2365
786	8699	2354
787	8710	2343
788	8721	2332
789	8732	2321
790	8743	2310
791	8753	2299
792	8764	2287
793	8774	2276
794	8786	2265
795	8797	2254
796	8807	2243
797	8818	2232
798	8829	2221
799	8840	2210
800	8851	2199
801	8862	2187
802	8872	2176
803	8883	2165
804	8894	2154
805	8905	2143
806	8916	2132
807	8927	2121
808	8938	2110
809	8949	2099
810	8960	2088
811	8971	2077
812	8981	2065
813	8993	2054
814	9003	2043
815	9013	2032
816	9024	2021
817	9035	2010
818	9045	1999
819	9057	1988
820	9067	1976
821	9078	1965
822	9090	1954
823	9100	1943
824	9111	1932
825	9122	1921
826	9132	1910
827	9143	1899
828	9154	1888
829	9165	1877
830	9176	1866
831	9187	1855
832	9197	1843
833	9207	1832
834	9218	1821
835	9229	1810
836	9240	1799
837	9251	1788
838	9262	1777
839	9274	1766
840	9285	1755
841	9297	1744
842	9308	1733
843	9319	1722
844	9331	1711
845	9343	1700
846	9355	1689
847	9366	1678
848	9377	1667
849	9388	1656
850	9399	1645
851	9410	1634
852	9421	1623
853	9432	1612
854	9443	1601
855	9455	1590
856	9466	1579
857	9477	1568
858	9489	1557
859	9500	1546
860	9511	1535
861	9522	1524
862	9533	1513
863	9543	1502
864	9554	1491
865	9565	1480
866	9577	1469
867	9588	1458
868	9599	1447
869	9610	1436
870	9621	1425
871	9633	1414
872	9643	1402
873	9654	1391
874	9665	1380
875	9676	1369
876	9687	1358
877	9697	1347
878	9707	1336
879	9719	1325
880	9729	1314
881	9739	1303
882	9751	1292
883	9763	1281
884	9774	1270
885	9785	1259
886	9796	1248
887	9807	1236
888	9819	1226
889	9831	1215
890	9841	1204
891	9853	1193
892	9864	1181
893	9875	1170
894	9886	1159
895	9896	1148
896	9906	1137
897	9918	1126
898	9929	1115
899	9941	1104
900	9951	1093
901	9962	1082
902	9973	1071
903	9984	1060
904	9995	1049
905	10006	1038
906	10017	1027
907	10028	1016
908	10039	1005
909	10049	993
910	10060	982
911	10071	971
912	10082	960
913	10092	949
914	10103	938
915	10115	927
916	10125	916
917	10136	905
918	10147	894
919	10158	883
920	10168	872
921	10180	861
922	10191	850
923	10201	839
924	10212	828
925	10223	816
926	10235	806
927	10246	795
928	10258	783
929	10269	772
930	10281	761
931	10292	750
932	10303	739
933	10314	728
934	10326	717
935	10337	706
936	10349	695
937	10361	684
938	10372	673
