iter	Logloss
0	0.6060318256
1	0.5485183284
2	0.4960013115
3	0.4435335839
4	0.4000557199
5	0.3610151798
6	0.3275451363
7	0.2974740601
8	0.278056516
9	0.2555099831
10	0.2387559554
11	0.2269112153
12	0.2132888671
13	0.2008038952
14	0.1903986293
15	0.1808018495
16	0.1727925742
17	0.1669956351
18	0.1606415663
19	0.1554919228
20	0.1514007297
21	0.1469794656
22	0.1432385504
23	0.1400517372
24	0.1369018006
25	0.1347117201
26	0.1319854981
27	0.1302601198
28	0.1278260374
29	0.1256454704
30	0.1240930179
31	0.1226453648
32	0.1213292987
33	0.119900914
34	0.1187968711
35	0.117555078
36	0.1166072683
37	0.1155574524
38	0.1139359715
39	0.1126123596
40	0.1117025029
41	0.1108486037
42	0.1099823695
43	0.10938088
44	0.1088541409
45	0.1082902295
46	0.1076395313
47	0.1066666318
48	0.1062100384
49	0.1054571651
50	0.1048348566
51	0.1044060754
52	0.1039961565
53	0.1034879557
54	0.1030456537
55	0.1025348223
56	0.1019282274
57	0.1011950709
58	0.1008878384
59	0.1003977197
60	0.09958889562
61	0.09921247713
62	0.09873912736
63	0.09839096377
64	0.0975667822
65	0.09712373747
66	0.09661736946
67	0.09584654156
68	0.09530835761
69	0.09502507037
70	0.09449102649
71	0.09417468747
72	0.09349682352
73	0.09318333464
74	0.09279801064
75	0.09242660158
76	0.09212507434
77	0.09190270827
78	0.09145828295
79	0.09086826871
80	0.09059427963
81	0.09028220413
82	0.09007266026
83	0.08964574019
84	0.08927136309
85	0.08887892526
86	0.0884886923
87	0.08820348249
88	0.08796603779
89	0.08774990366
90	0.08746736257
91	0.08721084891
92	0.08688607681
93	0.08660530517
94	0.08644382208
95	0.08620568842
96	0.08595414252
97	0.08571816675
98	0.08517511643
99	0.08495605754
100	0.08473689271
101	0.08449450222
102	0.08419802893
103	0.0839063045
104	0.0835225722
105	0.0834171598
106	0.08316653444
107	0.08304399113
108	0.08278588393
109	0.0825799698
110	0.0822621102
111	0.0821459124
112	0.0820108573
113	0.08185757712
114	0.08178005249
115	0.08156876875
116	0.08128682911
117	0.08111702362
118	0.08091798148
119	0.0805881005
120	0.08044464775
121	0.08025912161
122	0.07992609835
123	0.0797817245
124	0.0796283584
125	0.07931732652
126	0.07910927331
127	0.07896991187
128	0.07860360629
129	0.0783856288
130	0.07822673228
131	0.07813581317
132	0.07795833109
133	0.07785320652
134	0.0776914333
135	0.07748036887
136	0.077333703
137	0.07717238691
138	0.07700514704
139	0.07685853625
140	0.07652275144
141	0.07635252686
142	0.07628375633
143	0.07623158142
144	0.07611203062
145	0.07589430742
146	0.0758228429
147	0.0756799417
148	0.07542852753
149	0.07524284045
150	0.07516256723
151	0.07502955301
152	0.07495735822
153	0.07466039068
154	0.07454176271
155	0.07432745057
156	0.07405636445
157	0.07392378896
158	0.07386704825
159	0.0736658614
160	0.07357666075
161	0.07350668708
162	0.07339218717
163	0.07325447922
164	0.07305123766
165	0.07282131435
166	0.07240296518
167	0.07227393897
168	0.0721507659
169	0.07205302344
170	0.07172029963
171	0.07163192329
172	0.07150609389
173	0.07131870234
174	0.07120151231
175	0.07108105583
176	0.07101200322
177	0.07087907448
178	0.07066789042
179	0.0704708316
180	0.07018699548
181	0.07005979355
182	0.06990731515
183	0.06977585565
184	0.06964042652
185	0.06951516643
186	0.06935773732
187	0.06925578374
188	0.0691571678
189	0.06908767185
190	0.06899961517
191	0.0688819439
192	0.06878794418
193	0.06866145226
194	0.06861242167
195	0.06854746208
196	0.0684633698
197	0.06839455617
198	0.06827433631
199	0.06821933169
200	0.06801392502
201	0.06791351446
202	0.06776995106
203	0.0676352054
204	0.06759765429
205	0.06747905911
206	0.06740952744
207	0.06728672919
208	0.06711900589
209	0.06693450037
210	0.06668030464
211	0.06652411296
212	0.0663472359
213	0.06621969715
214	0.06616480977
215	0.06606148109
216	0.06592820819
217	0.06580334768
218	0.06569692066
219	0.0654620014
220	0.06507165851
221	0.06493215636
222	0.0648228819
223	0.06475907646
224	0.06466298803
225	0.06458119969
226	0.06451931612
227	0.06442579817
228	0.06434708456
229	0.06423920292
230	0.06420356627
231	0.06411620344
232	0.06405393564
233	0.06400085057
234	0.06384637909
235	0.06363031349
236	0.06352789935
237	0.06342225858
238	0.06336593565
239	0.06322684716
240	0.06315697249
241	0.06307819193
242	0.0629587452
243	0.06290209807
244	0.06284723783
245	0.06276466063
246	0.06267815827
247	0.06251132908
248	0.06241593766
249	0.06216209658
250	0.06207871179
251	0.06194155468
252	0.06184903099
253	0.06172613081
254	0.06164354578
255	0.06155624336
256	0.0615081565
257	0.06136227643
258	0.06132350875
259	0.06126043836
260	0.06117264018
261	0.06109506237
262	0.06098912836
263	0.06088148151
264	0.06078078314
265	0.06064936314
266	0.06053799722
267	0.06045420797
268	0.0603673909
269	0.06030597244
270	0.06024295639
271	0.06017222836
272	0.06001210323
273	0.05994643619
274	0.05984406689
275	0.05977928577
276	0.05967709731
277	0.05957236792
278	0.05953839134
279	0.05948714552
280	0.05932913706
281	0.059249231
282	0.05918148145
283	0.05909141095
284	0.05902839034
285	0.05894594229
286	0.05886374581
287	0.05875641928
288	0.05863160028
289	0.05855834565
290	0.05848077133
